ID,Book,Rating,num_rating
31,"Exit West, Mohsin Hamid",it was amazing,8
31,"The Road, Cormac McCarthy",it was amazing,8
31,"The Time Traveler's Wife, Audrey Niffenegger",liked it,8
31,"Dark Matter, Ian Douglas",liked it,8
31,"Dark Matter, Ian Douglas",liked it,8
35,"The Last Question, Isaac Asimov",really liked it,6
35,"The Handmaid's Tale, Margaret Atwood",liked it,6
35,"1984, George Orwell",really liked it,6
35,"Norse Mythology, Neil Gaiman",it was amazing,6
35,"Circe, Madeline Miller",it was amazing,6
35,"The Hobbit, or There and Back Again, J.R.R. Tolkien",it was amazing,6
40,"Freedom, Jay Kirkpatrick",it was amazing,2
40,"Freedom, Jay Kirkpatrick",it was amazing,2
47,"The Alchemist, Paolo Bacigalupi",really liked it,5
47,"The Da Vinci Code, Dan Brown",really liked it,5
47,"1984, George Orwell",liked it,5
47,"One Thousand White Women: The Journals of May Dodd, Jim Fergus",really liked it,5
47,"The Phantom Tollbooth, Norton Juster",liked it,5
50,"The Alchemist, Paolo Bacigalupi",liked it,2
53,"Flowers for Algernon, Daniel Keyes",liked it,11
53,"Catch-22, Joseph Heller",really liked it,11
53,"The Alchemist, Paolo Bacigalupi",it was amazing,11
53,"1984, George Orwell",really liked it,11
53,"The Hobbit, or There and Back Again, J.R.R. Tolkien",really liked it,11
53,"Fahrenheit 451, Ray Bradbury",liked it,11
53,"The Stranger, K.A. Applegate",really liked it,11
53,"The Princess Bride, William Goldman",it was amazing,11
53,"Lord of the Flies, William Golding",really liked it,11
53,"Gulliver's Travels, Jonathan Swift",really liked it,11
53,"Einstein's Dreams, Alan Lightman",it was amazing,11
55,"Artemis, Andy Weir",liked it,15
55,"War, Laura Thalassa",really liked it,15
55,"The Son, Veronica Roth",really liked it,15
55,"Cryptonomicon, Neal Stephenson",it was amazing,15
55,"Reamde, Neal Stephenson",it was amazing,15
55,"Station Eleven, Emily St. John Mandel",really liked it,15
55,"Ghost in the Wires: My Adventures as the World's Most Wanted Hacker, Kevin D. Mitnick",it was amazing,15
55,"Cloud Atlas, David Mitchell",liked it,15
55,"The Mandibles: A Family, 2029–2047, Lionel Shriver",really liked it,15
55,"The Martian, Andy Weir",it was amazing,15
55,"The World Without Us, Alan Weisman",liked it,15
55,"Down and Out in the Magic Kingdom, Cory Doctorow",liked it,15
55,"The Windup Girl, Paolo Bacigalupi",really liked it,15
55,"Freedom, Jay Kirkpatrick",liked it,15
55,"Freedom, Jay Kirkpatrick",liked it,15
56,"The Sacrifice, K.A. Applegate",it was amazing,21
56,"The Sacrifice, K.A. Applegate",it was amazing,21
56,"The Book of Strange New Things, Michel Faber",really liked it,21
56,"The Road, Cormac McCarthy",really liked it,21
56,"Sourdough, Robin Sloan",really liked it,21
56,"The World Without Us, Alan Weisman",liked it,21
56,"The Martian, Andy Weir",really liked it,21
56,"Earth Abides, George R. Stewart",really liked it,21
56,"Beacon 23, Hugh Howey",liked it,21
56,"A Tale for the Time Being, Ruth Ozeki",really liked it,21
56,"The Dog Stars, Peter Heller",really liked it,21
56,"Permutation City, Greg Egan",liked it,21
56,"Seveneves, Neal Stephenson",really liked it,21
56,"World War Z: An Oral History of the Zombie War, Max Brooks",really liked it,21
56,"The Machine Stops, E.M. Forster",really liked it,21
56,"Station Eleven, Emily St. John Mandel",really liked it,21
56,"Cryptonomicon, Neal Stephenson",really liked it,21
56,"Stories of Your Life and Others, Ted Chiang",it was amazing,21
56,"When the English Fall, David           Williams",really liked it,21
