ID,Book_Title,Rating,num_rating
56,Stories of Your Life and Others,it was amazing,21
56,When the English Fall,really liked it,21
56,Version Control,really liked it,21
56,The Handmaid's Tale,it was amazing,21
63,The Time Traveler's Wife,it was amazing,2
63,Cloud Atlas,did not like it,2
66,Slaughterhouse-Five,really liked it,8
66,Fahrenheit 451,really liked it,8
66,Galápagos,liked it,8
66,The Alchemist,really liked it,8
66,Lord of the Flies,really liked it,8
66,The Da Vinci Code,liked it,8
66,Catch-22,it was amazing,8
66,Cat's Cradle,really liked it,8
68,The Time Traveler's Wife,it was amazing,2
68,The Little Prince,it was amazing,2
70,Brave New World,it was amazing,2
70,Slaughterhouse-Five,it was amazing,2
72,Foucault's Pendulum,really liked it,2
72,Childhood's End,liked it,2
73,Superman: Red Son,really liked it,63
73,Snow Crash,really liked it,63
73,1984,it was amazing,63
73,World War Z: An Oral History of the Zombie War,really liked it,63
73,Utopia,really liked it,63
73,Utopia,really liked it,63
73,Utopia,really liked it,63
73,Cloud Atlas,really liked it,63
73,Song of Susannah,really liked it,63
73,Walkaway,really liked it,63
73,Spook Country,really liked it,63
73,A Fall of Moondust,it was ok,63
73,Slaughterhouse-Five,really liked it,63
73,Starship Troopers,really liked it,63
73,Watchmen,really liked it,63
73,Cryptonomicon,really liked it,63
73,Dodger,really liked it,63
73,Dune,it was amazing,63
73,Stranger in a Strange Land,it was amazing,63
73,Shelter,really liked it,63
73,The Alchemist,really liked it,63
73,The Bone Clocks,liked it,63
73,The Anubis Gates,it was amazing,63
73,Infinite Jest,really liked it,63
73,Stories of Your Life and Others,liked it,63
73,Dark Matter,it was ok,63
73,Dark Matter,it was ok,63
73,The Gunslinger,it was amazing,63
73,Armada,liked it,63
73,Cat's Cradle,really liked it,63
73,Galápagos,liked it,63
73,"The Hobbit, or There and Back Again",really liked it,63
73,Neverwhere,liked it,63
73,Fuzzy Nation,really liked it,63
73,Fahrenheit 451,did not like it,63
73,Nation,liked it,63
73,Ringworld,really liked it,63
73,Ready Player One,it was amazing,63
73,The Fountains of Paradise,really liked it,63
73,California,really liked it,63
73,Animal Farm,it was ok,63
73,Anathem,really liked it,63
73,Reamde,really liked it,63
73,The Gods Themselves,liked it,63
73,Rainbows End,really liked it,63
73,The Prince,it was ok,63
73,The Prince,it was ok,63
73,Ender's Shadow,liked it,63
73,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",really liked it,63
73,The Invisible Man,it was ok,63
73,Schismatrix Plus,it was amazing,63
73,Hard-Boiled Wonderland and the End of the World,really liked it,63
73,The Martian,really liked it,63
73,Childhood's End,really liked it,63
73,The Underground Railroad,liked it,63
73,The Difference Engine,liked it,63
73,Aurora,really liked it,63
73,Aurora,really liked it,63
73,Freedom,it was amazing,63
73,Freedom,it was amazing,63
73,Agent to the Stars,really liked it,63
73,Flatland: A Romance of Many Dimensions,did not like it,63
73,The Time Machine,liked it,63
77,Here,really liked it,6
77,A Brief History of Time,liked it,6
77,"The Hobbit, or There and Back Again",really liked it,6
77,The Martian,really liked it,6
77,Patience,really liked it,6
77,Watchmen,really liked it,6
91,Atlas Shrugged,it was ok,8
91,Never Let Me Go,liked it,8
91,The Stranger,really liked it,8
91,What the Wind Knows,liked it,8
91,Fahrenheit 451,it was amazing,8
91,1984,really liked it,8
91,The Time Traveler's Wife,it was ok,8
91,The Alchemist,it was amazing,8
97,The Phantom Tollbooth,it was amazing,3
97,Fahrenheit 451,really liked it,3
97,The Gods Themselves,really liked it,3
100,The Da Vinci Code,really liked it,2
100,The Little Prince,it was amazing,2
103,Lord of the Flies,really liked it,6
103,The Alchemist,really liked it,6
103,A Clockwork Orange,it was amazing,6
103,The Da Vinci Code,really liked it,6
103,The Little Prince,it was amazing,6
103,The War of the Worlds,it was ok,6
106,Snow Crash,really liked it,10
106,The Amazing Adventures of Kavalier & Clay,really liked it,10
106,Reamde,really liked it,10
106,Infinite Jest,it was amazing,10
106,Cryptonomicon,it was amazing,10
106,"The Hobbit, or There and Back Again",it was amazing,10
106,The Soul of a New Machine,really liked it,10
106,1984,really liked it,10
106,The Road,liked it,10
106,Atlas Shrugged,liked it,10
116,Brave New World,it was amazing,8
116,Animal Farm,really liked it,8
116,1984,it was amazing,8
116,The Phantom Tollbooth,it was amazing,8
116,"The Hobbit, or There and Back Again",really liked it,8
116,Lord of the Flies,really liked it,8
116,Slaughterhouse-Five,it was amazing,8
116,Catch-22,it was amazing,8
117,Agent to the Stars,really liked it,3
117,Redshirts,really liked it,3
117,The Thief,really liked it,3
122,The Da Vinci Code,did not like it,2
122,The Alchemist,it was amazing,2
125,The Three Stigmata of Palmer Eldritch,liked it,8
125,Against the Day,really liked it,8
125,Infinite Jest,really liked it,8
125,The Road,liked it,8
125,Snow Crash,it was amazing,8
125,Bleeding Edge,liked it,8
125,Freedom,really liked it,8
125,Freedom,really liked it,8
127,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",really liked it,19
127,The Stand,liked it,19
127,Batman: The Dark Knight Returns,it was amazing,19
127,American Gods,it was amazing,19
127,Kingdom Come,liked it,19
127,Kindred,it was amazing,19
127,The Amazing Adventures of Kavalier & Clay,it was amazing,19
127,V for Vendetta,really liked it,19
127,"The Hobbit, or There and Back Again",it was amazing,19
127,Slaughterhouse-Five,really liked it,19
127,"Transmetropolitan, Vol. 1: Back on the Street",really liked it,19
127,Fahrenheit 451,really liked it,19
127,Watchmen,really liked it,19
127,"Alex + Ada, Vol. 1",really liked it,19
127,Fight Club,it was amazing,19
127,The Gunslinger,really liked it,19
127,Prey,it was ok,19
127,Prey,it was ok,19
127,Prey,it was ok,19
128,Brave New World,really liked it,3
128,Fahrenheit 451,it was amazing,3
128,Animal Farm,liked it,3
132,Animal Farm,it was amazing,7
132,1984,it was amazing,7
132,Alice's Adventures in Wonderland,really liked it,7
132,The Alchemist,it was amazing,7
132,Lord of the Flies,really liked it,7
132,Fahrenheit 451,it was amazing,7
132,The Martian,it was amazing,7
136,Out of Time,it was ok,5
136,Out of Time,it was ok,5
136,Out of Time,it was ok,5
136,The Eleventh Plague,liked it,5
136,The Time Traveler's Wife,liked it,5
139,The Island,it was amazing,5
139,The Island,it was amazing,5
139,The Valley of Horses,it was amazing,5
139,Summerland,really liked it,5
139,Winter's Tale,it was amazing,5
141,"The Hobbit, or There and Back Again",it was ok,5
141,The Handmaid's Tale,really liked it,5
141,Catch-22,really liked it,5
141,The Alchemist,liked it,5
141,The Phantom Tollbooth,really liked it,5
143,World War Z: An Oral History of the Zombie War,really liked it,20
143,The Windup Girl,it was amazing,20
143,Pump Six and Other Stories,it was amazing,20
143,The Phantom Tollbooth,it was amazing,20
143,1984,liked it,20
143,The Alchemist,really liked it,20
143,Slaughterhouse-Five,it was amazing,20
143,Foucault's Pendulum,liked it,20
143,Against the Day,really liked it,20
143,Cryptonomicon,liked it,20
143,Snow Crash,liked it,20
143,A Connecticut Yankee in King Arthur's Court,liked it,20
143,The Trial,liked it,20
143,The Amazing Adventures of Kavalier & Clay,really liked it,20
143,"The Hobbit, or There and Back Again",really liked it,20
143,Stranger in a Strange Land,it was ok,20
143,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",really liked it,20
143,The Yiddish Policemen's Union,it was amazing,20
143,Jonathan Strange & Mr Norrell,it was amazing,20
143,Catch-22,it was amazing,20
147,The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,really liked it,2
147,Digital Fortress,it was ok,2
148,The Plot Against America,did not like it,4
148,The Time Traveler's Wife,it was ok,4
148,The Little Prince,it was amazing,4
148,The Road,it was ok,4
150,Landline,liked it,7
150,The Little Prince,liked it,7
150,Atlas Shrugged,liked it,7
150,1984,really liked it,7
150,A Christmas Carol,liked it,7
150,Brave New World,really liked it,7
150,Life After Life,really liked it,7
151,The Time Traveler's Wife,really liked it,3
151,Three Wishes,it was amazing,3
151,Landline,it was amazing,3
156,The Historian,really liked it,6
156,Run,it was ok,6
156,Run,it was ok,6
156,The Amazing Adventures of Kavalier & Clay,liked it,6
156,The Time Traveler's Wife,it was amazing,6
156,This Must Be the Place,liked it,6
166,Uprooted,really liked it,65
166,Kindred,it was amazing,65
